id,datetime,impact,headline,summary
124797629,2024-01-01 20:35:20,n/a,"UPDATE 1-More EVs lose US tax credits including Tesla, Nissan, GM vehicles","Many electric vehicles lost eligibility for tax credits of up to $7,500 after new battery sourcing rules took effect on Monday, including the Nissan Leaf, Tesla Cybertruck All-Wheel Drive, some Tesla Model 3s and Chevrolet Blazer EV, the U.S. Treasury said.  The Treasury issued guidelines in December detailing new battery sourcing requirements aimed at weaning the U.S. electric vehicle supply chain away from China."
124800305,2024-01-01 20:00:00,n/a,Chinese Carmakers Launch Sodium-Ion Battery-Powered EVs,"Chinese carmakers, including Volkswagen-backed JAC Group, have launched electric vehicles powered by sodium-ion batteries, offering a cheaper and abundant alternative to traditional lithium-ion batteries."
124800306,2024-01-01 19:32:00,n/a,"1 Top Artificial Intelligence (AI) Stock to Buy Before It Soars 46%, According to This Wall Street Analyst",Morgan Stanley's Adam Jonas believes artificial intelligence could add $400 billion to Tesla's market cap.
124799487,2024-01-01 17:40:17,n/a,"More EVs lose US tax credits including Tesla, Nissan, GM vehicles","WASHINGTON (Reuters) -Many electric vehicles lost eligibility for tax credits of up to $7,500 after new battery sourcing rules took effect on Monday, including the Nissan Leaf, Tesla Cybertruck All-Wheel Drive, some Tesla Model 3s and Chevrolet Blazer EV, the U.S. Treasury said.  The Treasury issued guidelines in December detailing new battery sourcing requirements aimed at weaning the U.S. electric vehicle supply chain away from China.  The number of EV models qualifying for U.S. EV tax credits fell from 43 to 19."
124796586,2024-01-01 17:36:35,n/a,"More EVs lose US tax credits including Tesla Cybertruck, Nissan Leaf","Many electric vehicles lost eligibility for tax credits of up to $7,500 after new battery sourcing rules took effect on Monday, including the Nissan Leaf, Tesla Cybertruck All-Wheel Drive and Chevrolet Blazer EV, the U.S. Treasury said.  The Treasury issued guidelines in December detailing new battery sourcing requirements aimed at weaning the U.S. electric vehicle supply chain away from China.  The number of EV models qualifying for U.S. EV tax credits fell from 43 to 19."
124794368,2024-01-01 14:20:00,n/a,History Says the Nasdaq Will Surge in 2024: 2 Stock-Split Stocks to Buy Before It Does,These investor-favorite stocks faced challenges over the past couple of years but appear to have turned the corner.
124794370,2024-01-01 13:55:05,n/a,Stock Market Rally Strong Into 2024: Nvidia Sets Up Again; Tesla Deliveries Due,"After big 2023 market gains, here's how to prepare for the new year. Nvidia is among several leaders setting up again. Tesla deliveries are due with rivals already reporting."
124794371,2024-01-01 13:54:11,n/a,"Tesla Rival BYD Seizes Electric Vehicle Crown; China's Li Auto, XPeng Set Records","BYD's 2023 sales topped 3 million, with the Tesla rival's Q4 fully electric vehicle sales well above 500,000. China's Li Auto and Xpeng deliveries hits record highs too."
124794139,2024-01-01 13:21:00,n/a,"Investing Preview 2024: Buy These 4 ""Magnificent Seven"" Stocks. Avoid the Others.","The ""Magnificent Seven"" stocks have varying valuations. Four have room to run, and three have gotten too rich."
124794142,2024-01-01 12:30:00,n/a,"Which ""Magnificent Seven"" Stocks Are Screaming Buys Right Now?",Only three of the seven make the cut as buys at current levels.
124797461,2024-01-01 12:11:00,n/a,The 3 Hottest EV Stocks to Watch in 2024,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
124795847,2024-01-01 11:40:00,n/a,10 Consumer Discretionary Stocks With Whale Alerts In Today's Session,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
124793643,2024-01-01 11:30:00,n/a,Bull Market Buys: 2 Nasdaq Stocks to Own for the Long Run,Discover why Coinbase and Tesla stand out as top growth stocks deserving of a long-term investment.
